Section,Title_Name,Subtitle_Price_Value,Category,Description,Fabric_Type,Image_URL,Link_Or_Bestseller,Product_Size,Product_Care
Hero,"Sacred. Timeless. Yours Forever.","Traditional Adutheras",,"Exquisite embroidered adutheras for your special moments and lifelong blessings.",,"images/hero-1.png",#collections,,
Hero,"Divine Artistry. Every Thread.","Handcrafted with Love",,"Each piece is meticulously handcrafted by skilled artisans preserving centuries-old traditions.",,"images/hero-2.png",#bestsellers,,
Hero,"Blessed. Handcrafted. Authentic.","Premium Collection",,"Discover our exclusive range of Shankh Chakra Namalu designs.",,"images/hero-3.png",#collections,,
Hero,"Personalized. Meaningful. Unique.","Custom Orders",,"Create personalized adutheras with custom names, dates, and designs.",,"images/hero-4.png",#cta,,
Product,"Sreenivasa Kalyanam with Shrirasthu","₹2,999","Sreenivasa Kalyanam Series","An exceptionally beautiful ceremonial Aduthera featuring the sacred Sreenivasa Kalyanam wedding motif alongside the divine blessing 'Shrirasthu Shubhamasthu'. Hand-embroidered with brilliant golden Zardosi on pure raw silk.","Royal Silk (Customizable in Velvet or Satin)","images/sreenivasa-kalyanam-shrirasthu.png",TRUE,"Standard 15"" x 15"" (Customizable)","Dry Clean Only"
Product,"Swastik with Shanku Chakra","₹2,699","Auspicious Swastik Series","An auspicious blend of the sacred Swastik and the divine symbols of the Shanku (Conch) and Chakra (Discus) flanking the corners. Imbues your prayer space with divine protection and eternal prosperity.","Premium Satin (Customizable in Silk or Velvet)","images/swastik-shanku-chakra.png",TRUE,"Standard 15"" x 15"" (Customizable)","Dry Clean Only"
Product,"Classic Shanku Chakra Namalu","₹2,799","Shanku Chakra Namalu","Adorned with the majestic symbols of the Shankha (Conch shell) and Chakra (Divine discus) flanking the sacred Tilak. Invokes powerful divine protections and celestial grace for your household altars.","Royal Silk (Customizable in Satin or Cotton)","images/hero-3.png",TRUE,"Standard 15"" x 15"" (Customizable)","Dry Clean Only"
Product,"Sacred Swastik","₹2,299","Auspicious Swastik Series","This sacred Aduthera features the holy Swastik motif, representing auspicious beginnings, peace, and eternal prosperity. Meticulously stitched with shimmering gold thread onto pure velvet-maroon fabric base.","Premium Satin (Customizable in Silk or Cotton)","images/hero-2.png",TRUE,"Standard 15"" x 15"" (Customizable)","Dry Clean Only"
Product,"Sreenivasa Kalyanam","₹2,899","Sreenivasa Kalyanam Series","An exquisite representation of the divine marriage of Lord Venkateswara and Goddess Padmavathi. Beautifully embroidered in meticulous detail to commemorate and bless wedding milestones.","Royal Silk (Customizable in Satin or Cotton)","images/sreenivasa-kalyanam.png",TRUE,"Standard 15"" x 15"" (Customizable)","Dry Clean Only"
Product,"Sreenivasa Kalyanam with Swastik","₹3,199","Sreenivasa Kalyanam Series","A magnificent blend of Lord Venkateswara's wedding scene with the auspicious Swastik and Shanku Chakra motifs. The ultimate offering of traditional grace, devotion, and elite craftsmanship.","Bespoke Silk / Velvet (Customizable)","images/sreenivasa-kalyanam-swastik.png",TRUE,"Standard 15"" x 15"" (Customizable)","Dry Clean Only"
Customizer,"Royal Silk","Luxury traditional sheen",Fabric,,,,"silk-swatch",,
Customizer,"Premium Satin","Soft, elegant luster",Fabric,,,,"satin-swatch",,
Customizer,"Sacred Cotton","Pure, matte traditional weave",Fabric,,,,"cotton-swatch",,
Customizer,"Sreenivasa Kalyanam","Celestial wedding blessings",Motif,,,"images/sreenivasa-kalyanam.png","fas fa-om",,
Customizer,"Swastik with Shanku","Prosperity and divine conch",Motif,,,"images/swastik-shanku-chakra.png","fas fa-star-of-david",,
Customizer,"Shanku Chakra Tilak","Divine protection symbols",Motif,,,"images/hero-3.png","fas fa-dharmachakra",,
Customizer,"Name Embroidery","Bespoke names & mantras",Motif,,,"images/hero-1.png","fas fa-signature",,
Setting,"WhatsApp_Number","91738220377",,,,,,,
Setting,"Announcement_Bar_Text","Accepting bookings for the upcoming wedding season!",,,,,,,
Setting,"Instagram_URL","https://instagram.com/vbkdesigns",,,,,,,
Setting,"Facebook_URL","https://facebook.com/vbkdesigns",,,,,,,
